strategy,startDate,endDate,beginCash
Target_480,1/3/2022,12/30/2022,1000000
Target_470,1/3/2022,12/30/2022,1000000
Target_460,1/3/2022,12/30/2022,1000000
Target_450,1/3/2022,12/30/2022,1000000
Target_440,1/3/2022,12/30/2022,1000000
Target_430,1/3/2022,12/30/2022,1000000
Target_420,1/3/2022,12/30/2022,1000000
Target_410,1/3/2022,12/30/2022,1000000
Target_400,1/3/2022,12/30/2022,1000000
Target_390,1/3/2022,12/30/2022,1000000
Target_380,1/3/2022,12/30/2022,1000000
Target_370,1/3/2022,12/30/2022,1000000
Target_360,1/3/2022,12/30/2022,1000000
Target_300,1/3/2022,12/30/2022,1000000
Avg_Prev30,1/3/2022,12/30/2022,1000000
B380_S420,1/3/2022,12/30/2022,1000000
