,strategy,startDate,endDate,beginCash,result,Sharpe,Max Drawdown,Longest DD Days
0,Target_480,1/3/2022,12/30/2022,1000000,-0.17139808013916003,-0.66,-0.23,351
1,Target_470,1/3/2022,12/30/2022,1000000,-0.1676389846191405,-0.65,-0.23,351
2,Target_460,1/3/2022,12/30/2022,1000000,-0.12616541131591785,-0.45,-0.22,275
3,Target_450,1/3/2022,12/30/2022,1000000,-0.11105248925781241,-0.38,-0.21,275
4,Target_440,1/3/2022,12/30/2022,1000000,-0.0551113833923339,-0.14,-0.19,275
5,Target_430,1/3/2022,12/30/2022,1000000,-0.016344616180419824,0.03,-0.17,135
6,Target_420,1/3/2022,12/30/2022,1000000,0.002125619506835985,0.11,-0.15,135
7,Target_410,1/3/2022,12/30/2022,1000000,0.02961294338989262,0.25,-0.13,108
8,Target_400,1/3/2022,12/30/2022,1000000,0.12079470175170925,0.78,-0.11,71
9,Target_390,1/3/2022,12/30/2022,1000000,0.15029188049316433,1.13,-0.06,68
10,Target_380,1/3/2022,12/30/2022,1000000,0.1695091619873046,1.41,-0.06,48
11,Target_370,1/3/2022,12/30/2022,1000000,0.07185092758178713,1.12,-0.03,60
12,Target_360,1/3/2022,12/30/2022,1000000,0.014427919403076084,1.14,0,29
13,Target_300,1/3/2022,12/30/2022,1000000,0.0,-,,-
14,Avg_Prev30,1/3/2022,12/30/2022,1000000,-0.013526269989013517,0.01,-0.13,254
15,B380_S420,1/3/2022,12/30/2022,1000000,0.12510439089965852,0.82,-0.12,108
