Date,Ticker,Adj Close,Target_400_buy,Target_400_sell,Datelogic,combine,LO,Trade,TradeQut,TotalQut,Cash,Target_400_exp,returns,Ticker,Adj Close,Target_400_buy,Target_400_sell,Datelogic,combine,LO,Trade,TradeQut,TotalQut,Cash,Target_400_exp,returns,Ticker,Adj Close,Target_400_buy,Target_400_sell,Datelogic,combine,LO,Trade,TradeQut,TotalQut,Cash,Target_400_exp,returns,Ticker,Adj Close,Target_400_buy,Target_400_sell,Datelogic,combine,LO,Trade,TradeQut,TotalQut,Cash,Target_400_exp,returns,Ticker,Adj Close,Target_400_buy,Target_400_sell,Datelogic,combine,LO,Trade,TradeQut,TotalQut,Cash,Target_400_exp,returns
2023-01-03,SPY,379.37213134765625,400,400,1,0.1,0.1,0.1,2.0,2.0,9241.255737304688,10000.0,0.0,SPY,379.37213134765625,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,379.37213134765625,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,379.37213134765625,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,379.37213134765625,400,400,1,0.1,0.1,0.1,2.0,2.0,9241.255737304688,10000.0,0.0
2023-01-04,SPY,382.3009643554688,400,400,1,0.1,0.2,0.1,2.0,4.0,8476.65380859375,10005.857666015625,0.0005857666015625096,SPY,382.3009643554688,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,382.3009643554688,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,382.3009643554688,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,382.3009643554688,400,400,1,0.1,0.2,0.1,2.0,4.0,8476.65380859375,10005.857666015625,0.0005857666015625096
2023-01-05,SPY,377.9375915527344,400,400,1,0.1,0.30000000000000004,0.10000000000000003,2.0,6.0,7720.778625488281,9988.404174804688,-0.0017443273523884972,SPY,377.9375915527344,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,377.9375915527344,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,377.9375915527344,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,377.9375915527344,400,400,1,0.1,0.30000000000000004,0.10000000000000003,2.0,6.0,7720.778625488281,9988.404174804688,-0.0017443273523884972
2023-01-06,SPY,386.6044921875,400,400,1,0.1,0.4,0.09999999999999998,2.0,8.0,6947.569641113281,10040.405578613281,0.00520617737313489,SPY,386.6044921875,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,386.6044921875,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,386.6044921875,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,386.6044921875,400,400,1,0.1,0.4,0.09999999999999998,2.0,8.0,6947.569641113281,10040.405578613281,0.00520617737313489
2023-01-09,SPY,386.3853454589844,400,400,1,0.1,0.5,0.09999999999999998,2.0,10.0,6174.7989501953125,10038.652404785156,-0.00017461185351508313,SPY,386.3853454589844,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,386.3853454589844,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,386.3853454589844,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,386.3853454589844,400,400,1,0.1,0.5,0.09999999999999998,2.0,10.0,6174.7989501953125,10038.652404785156,-0.00017461185351508313
2023-01-10,SPY,389.0950012207031,400,400,1,0.1,0.6,0.09999999999999998,2.0,12.0,5396.608947753906,10065.748962402344,0.002699222617198238,SPY,389.0950012207031,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,389.0950012207031,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,389.0950012207031,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,389.0950012207031,400,400,1,0.1,0.6,0.09999999999999998,2.0,12.0,5396.608947753906,10065.748962402344,0.002699222617198238
2023-01-11,SPY,394.0162353515625,400,400,1,0.1,0.7,0.09999999999999998,2.0,14.0,4608.576477050781,10124.803771972656,0.005866906654526494,SPY,394.0162353515625,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,394.0162353515625,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,394.0162353515625,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,394.0162353515625,400,400,1,0.1,0.7,0.09999999999999998,2.0,14.0,4608.576477050781,10124.803771972656,0.005866906654526494
2023-01-12,SPY,395.4507446289063,400,400,1,0.1,0.7999999999999999,0.09999999999999998,2.0,16.0,3817.6749877929688,10144.886901855469,0.00198355744319767,SPY,395.4507446289063,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,395.4507446289063,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,395.4507446289063,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,395.4507446289063,400,400,1,0.1,0.7999999999999999,0.09999999999999998,2.0,16.0,3817.6749877929688,10144.886901855469,0.00198355744319767
2023-01-13,SPY,396.9848937988281,400,400,1,0.1,0.8999999999999999,0.09999999999999998,2.0,18.0,3023.7052001953125,10169.433288574219,0.0024195820965002834,SPY,396.9848937988281,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,396.9848937988281,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,396.9848937988281,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,396.9848937988281,400,400,1,0.1,0.8999999999999999,0.09999999999999998,2.0,18.0,3023.7052001953125,10169.433288574219,0.0024195820965002834
2023-01-17,SPY,396.2576599121094,400,400,1,0.1,0.9999999999999999,0.09999999999999998,2.0,20.0,2231.1898803710938,10156.343078613281,-0.001287211350866957,SPY,396.2576599121094,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,396.2576599121094,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,396.2576599121094,400,400,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,396.2576599121094,400,400,1,0.1,0.9999999999999999,0.09999999999999998,2.0,20.0,2231.1898803710938,10156.343078613281,-0.001287211350866957
